"subject","context","item","block","item_type","cycle","rt"
"200","het","train","1","category",4,657
"200","het","piano","1","category",5,657
"200","homo","trumpet","1","category",1,657
"200","homo","piano","1","category",1,657
"200","homo","piano","1","category",2,657
"200","homo","guitar","1","category",2,657
"200","homo","guitar","1","category",3,657
"200","homo","piano","1","category",3,657
"200","homo","guitar","1","category",4,657
"200","homo","piano","1","category",4,657
"200","homo","guitar","1","category",5,657
"200","homo","trumpet","1","category",5,657
"200","homo","axe","1","RAT",1,657
"200","homo","bird","1","RAT",1,657
"200","homo","axe","1","RAT",2,657
"200","homo","syrup","1","RAT",2,657
"200","homo","axe","1","RAT",3,657
"200","homo","bird","1","RAT",3,657
"200","homo","axe","1","RAT",4,657
"200","homo","syrup","1","RAT",4,657
"200","homo","syrup","1","RAT",5,657
"200","homo","axe","1","RAT",5,657
"200","homo","kite","1","category",1,657
"200","homo","ball","1","category",1,657
"200","homo","ball","1","category",2,657
"200","homo","kite","1","category",2,657
"200","homo","kite","1","category",3,657
"200","homo","ball","1","category",3,657
"200","homo","ball","1","category",4,657
"200","homo","kite","1","category",4,657
"200","homo","ball","1","category",5,657
"200","homo","top","1","category",5,657
"200","het","trumpet","1","category",1,657
"200","het","kite","1","category",1,657
"200","het","kite","1","category",2,657
"200","het","kite","1","category",3,657
"200","het","trumpet","1","category",3,657
"200","het","trumpet","1","category",4,657
"200","het","kite","1","category",4,657
"200","het","trumpet","1","category",5,657
"200","het","parsnip","1","category",5,657
"200","het","desk","2","RAT",1,657
"200","het","egg","2","RAT",1,657
"200","het","desk","2","RAT",2,657
"200","het","egg","2","RAT",2,657
"200","het","desk","2","RAT",3,657
"200","het","egg","2","RAT",3,657
"200","het","cow","2","RAT",4,657
"200","het","desk","2","RAT",5,657
"200","het","cow","2","RAT",5,657
"200","homo","jaw","2","RAT",1,657
"200","homo","desk","2","RAT",1,657
"200","homo","desk","2","RAT",2,657
"200","homo","shoe","2","RAT",2,657
"200","homo","desk","2","RAT",3,657
"200","homo","shoe","2","RAT",5,657
"200","homo","jaw","2","RAT",5,657
"200","homo","turtle","2","RAT",1,657
"200","homo","turtle","2","RAT",2,657
"200","homo","peanut","2","RAT",2,657
"200","homo","turtle","2","RAT",3,657
"200","homo","peanut","2","RAT",3,657
"200","homo","turtle","2","RAT",4,657
"200","homo","egg","2","RAT",4,657
"200","homo","egg","2","RAT",5,657
"200","homo","peanut","2","RAT",5,657
"200","het","turtle","2","RAT",1,657
"200","het","garbage","2","RAT",1,657
"200","het","turtle","2","RAT",2,657
"200","het","garbage","2","RAT",2,657
"200","het","garbage","2","RAT",3,657
"200","het","syrup","2","RAT",3,657
"200","het","syrup","2","RAT",4,657
"200","het","garbage","2","RAT",4,657
"200","het","syrup","2","RAT",5,657
"200","het","garbage","2","RAT",5,657
"200","het","carrot","2","category",1,657
"200","het","piano","2","category",1,657
"200","het","piano","2","category",2,657
"200","het","train","2","category",2,657
"200","het","train","2","category",3,657
"200","het","carrot","2","category",3,657
"200","het","train","2","category",4,657
"200","het","carrot","2","category",4,657
"200","het","carrot","2","category",5,657
"200","het","train","2","category",5,657
"200","het","parsnip","2","category",1,657
"200","het","kite","2","category",1,657
"200","het","parsnip","2","category",2,657
"200","het","trumpet","2","category",2,657
"200","het","parsnip","2","category",3,657
"200","het","kite","2","category",3,657
"200","het","kite","2","category",4,657
"200","het","trumpet","2","category",4,657
"200","het","trumpet","2","category",5,657
"200","het","kite","2","category",5,657
"200","het","lettuce","2","category",1,657
"200","het","car","2","category",1,657
"200","het","lettuce","2","category",2,657
"200","het","ball","2","category",2,657
"200","het","lettuce","2","category",3,657
"200","het","ball","2","category",3,657
"200","het","ball","2","category",4,657
"200","het","ball","2","category",5,657
"200","het","car","2","category",5,657
"200","homo","guitar","2","category",1,657
"200","homo","trumpet","2","category",1,657
"200","homo","trumpet","2","category",2,657
"200","homo","trumpet","2","category",3,657
"200","homo","piano","2","category",3,657
"200","homo","piano","2","category",4,657
"200","homo","trumpet","2","category",5,657
"200","homo","bird","2","RAT",1,657
"200","homo","syrup","2","RAT",1,657
"200","homo","bird","2","RAT",2,657
"200","homo","syrup","2","RAT",2,657
"200","homo","bird","2","RAT",3,657
"200","homo","syrup","2","RAT",3,657
"200","homo","bird","2","RAT",4,657
"200","homo","axe","2","RAT",4,657
"200","homo","bird","2","RAT",5,657
"200","homo","syrup","2","RAT",5,657
"200","het","axe","2","RAT",1,657
"200","het","jaw","2","RAT",1,657
"200","het","jaw","2","RAT",2,657
"200","het","axe","2","RAT",2,657
"200","het","frog","2","RAT",3,657
"200","het","jaw","2","RAT",4,657
"200","het","axe","2","RAT",4,657
"200","het","axe","2","RAT",5,657
"200","het","jaw","2","RAT",5,657
"200","homo","cow","2","RAT",1,657
"200","homo","garbage","2","RAT",1,657
"200","homo","cow","2","RAT",2,657
"200","homo","frog","2","RAT",2,657
"200","homo","cow","2","RAT",3,657
"200","homo","frog","2","RAT",3,657
"200","homo","frog","2","RAT",4,657
"200","homo","cow","2","RAT",4,657
"200","homo","cow","2","RAT",5,657
"200","homo","frog","2","RAT",5,657
"200","het","shoe","2","RAT",1,657
"200","het","bird","2","RAT",1,657
"200","het","shoe","2","RAT",2,657
"200","het","peanut","2","RAT",2,657
"200","het","shoe","2","RAT",3,657
"200","het","bird","2","RAT",3,657
"200","het","bird","2","RAT",4,657
"200","het","shoe","2","RAT",4,657
"200","het","bird","2","RAT",5,657
"200","het","shoe","2","RAT",5,657
"200","het","guitar","2","category",1,657
"200","het","top","2","category",1,657
"200","het","top","2","category",2,657
"200","het","bus","2","category",2,657
"200","het","top","2","category",3,657
"200","het","guitar","2","category",3,657
"200","het","guitar","2","category",4,657
"200","het","top","2","category",4,657
"200","het","guitar","2","category",5,657
"200","het","top","2","category",5,657
"200","homo","lettuce","2","category",1,657
"200","homo","parsnip","2","category",1,657
"200","homo","parsnip","2","category",2,657
"200","homo","lettuce","2","category",2,657
"200","homo","parsnip","2","category",3,657
"200","homo","lettuce","2","category",3,657
"200","homo","parsnip","2","category",4,657
"200","homo","lettuce","2","category",4,657
"200","homo","parsnip","2","category",5,657
"200","homo","carrot","2","category",5,657
"200","homo","train","2","category",1,657
"200","homo","train","2","category",2,657
"200","homo","bus","2","category",2,657
"200","homo","bus","2","category",3,657
"200","homo","bus","2","category",4,657
"200","homo","train","2","category",4,657
"200","homo","train","2","category",5,657
"200","homo","bus","2","category",5,657
"200","homo","ball","2","category",1,657
"200","homo","top","2","category",1,657
"200","homo","top","2","category",2,657
"200","homo","kite","2","category",2,657
"200","homo","kite","2","category",3,657
"200","homo","top","2","category",3,657
"200","homo","kite","2","category",4,657
"200","homo","kite","2","category",5,657
"200","homo","top","2","category",5,657
"201","homo","cow","1","RAT",1,657
"201","homo","frog","1","RAT",1,657
"201","homo","frog","1","RAT",2,657
"201","homo","garbage","1","RAT",2,657
"201","homo","garbage","1","RAT",3,657
"201","homo","frog","1","RAT",3,657
"201","homo","frog","1","RAT",4,657
"201","homo","garbage","1","RAT",4,657
"201","homo","frog","1","RAT",5,657
"201","homo","cow","1","RAT",5,657
"201","homo","turtle","1","RAT",1,657
"201","homo","egg","1","RAT",1,657
"201","homo","turtle","1","RAT",2,657
"201","homo","egg","1","RAT",2,657
"201","homo","turtle","1","RAT",3,657
"201","homo","egg","1","RAT",3,657
"201","homo","egg","1","RAT",4,657
"201","homo","peanut","1","RAT",4,657
"201","homo","peanut","1","RAT",5,657
"201","homo","egg","1","RAT",5,657
"201","het","turtle","1","RAT",1,657
"201","het","garbage","1","RAT",1,657
"201","het","turtle","1","RAT",2,657
"201","het","garbage","1","RAT",2,657
"201","het","garbage","1","RAT",3,657
"201","het","turtle","1","RAT",3,657
"201","het","garbage","1","RAT",4,657
"201","het","turtle","1","RAT",4,657
"201","het","garbage","1","RAT",5,657
"201","het","syrup","1","RAT",5,657
"201","het","desk","1","RAT",1,657
"201","het","cow","1","RAT",1,657
"201","het","cow","1","RAT",2,657
"201","het","cow","1","RAT",3,657
"201","het","desk","1","RAT",3,657
"201","het","desk","1","RAT",4,657
"201","het","cow","1","RAT",4,657
"201","het","cow","1","RAT",5,657
"201","het","desk","1","RAT",5,657
"201","het","guitar","1","category",1,657
"201","het","top","1","category",1,657
"201","het","top","1","category",2,657
"201","het","guitar","1","category",3,657
"201","het","bus","1","category",3,657
"201","het","guitar","1","category",4,657
"201","het","top","1","category",4,657
"201","het","top","1","category",5,657
"201","het","guitar","1","category",5,657
"201","het","train","1","category",1,657
"201","het","piano","1","category",1,657
"201","het","train","1","category",2,657
"201","het","carrot","1","category",2,657
"201","het","carrot","1","category",3,657
"201","het","piano","1","category",3,657
"201","het","carrot","1","category",4,657
"201","het","piano","1","category",4,657
"201","het","piano","1","category",5,657
"201","het","train","1","category",5,657
"201","homo","piano","1","category",1,657
"201","homo","guitar","1","category",1,657
"201","homo","guitar","1","category",2,657
"201","homo","trumpet","1","category",2,657
"201","homo","guitar","1","category",3,657
"201","homo","piano","1","category",3,657
"201","homo","guitar","1","category",4,657
"201","homo","piano","1","category",4,657
"201","homo","guitar","1","category",5,657
"201","homo","piano","1","category",5,657
"201","homo","top","1","category",1,657
"201","homo","ball","1","category",1,657
"201","homo","top","1","category",2,657
"201","homo","kite","1","category",2,657
"201","homo","top","1","category",3,657
"201","homo","kite","1","category",3,657
"201","homo","kite","1","category",4,657
"201","homo","top","1","category",4,657
"201","homo","top","1","category",5,657
"201","homo","kite","1","category",5,657
"201","het","car","1","category",1,657
"201","het","lettuce","1","category",1,657
"201","het","car","1","category",2,657
"201","het","lettuce","1","category",2,657
"201","het","lettuce","1","category",3,657
"201","het","car","1","category",3,657
"201","het","car","1","category",4,657
"201","het","lettuce","1","category",4,657
"201","het","car","1","category",5,657
"201","het","ball","1","category",5,657
"201","homo","car","1","category",1,657
"201","homo","bus","1","category",1,657
"201","homo","bus","1","category",2,657
"201","homo","train","1","category",2,657
"201","homo","bus","1","category",3,657
"201","homo","car","1","category",3,657
"201","homo","car","1","category",4,657
"201","homo","bus","1","category",4,657
"201","homo","bus","1","category",5,657
"201","homo","train","1","category",5,657
"201","het","kite","1","category",1,657
"201","het","parsnip","1","category",1,657
"201","het","kite","1","category",2,657
"201","het","parsnip","1","category",2,657
"201","het","kite","1","category",3,657
"201","het","kite","1","category",4,657
"201","het","trumpet","1","category",4,657
"201","het","kite","1","category",5,657
"201","het","parsnip","1","category",5,657
"201","het","frog","1","RAT",1,657
"201","het","axe","1","RAT",1,657
"201","het","frog","1","RAT",2,657
"201","het","jaw","1","RAT",2,657
"201","het","jaw","1","RAT",3,657
"201","het","axe","1","RAT",3,657
"201","het","axe","1","RAT",4,657
"201","het","jaw","1","RAT",4,657
"201","het","axe","1","RAT",5,657
"201","het","jaw","1","RAT",5,657
"201","homo","shoe","1","RAT",1,657
"201","homo","jaw","1","RAT",1,657
"201","homo","jaw","1","RAT",2,657
"201","homo","shoe","1","RAT",2,657
"201","homo","jaw","1","RAT",3,657
"201","homo","shoe","1","RAT",3,657
"201","homo","shoe","1","RAT",4,657
"201","homo","desk","1","RAT",4,657
"201","homo","shoe","1","RAT",5,657
"201","homo","jaw","1","RAT",5,657
"201","het","peanut","1","RAT",1,657
"201","het","bird","1","RAT",1,657
"201","het","peanut","1","RAT",2,657
"201","het","shoe","1","RAT",2,657
"201","het","shoe","1","RAT",3,657
"201","het","peanut","1","RAT",3,657
"201","het","shoe","1","RAT",4,657
"201","het","bird","1","RAT",4,657
"201","het","shoe","1","RAT",5,657
"201","het","peanut","1","RAT",5,657
"201","homo","carrot","1","category",1,657
"201","homo","parsnip","1","category",1,657
"201","homo","parsnip","1","category",2,657
"201","homo","carrot","1","category",2,657
"201","homo","carrot","1","category",3,657
"201","homo","parsnip","1","category",3,657
"201","homo","parsnip","1","category",4,657
"201","homo","carrot","1","category",4,657
"201","homo","parsnip","1","category",5,657
"201","homo","lettuce","1","category",5,657
"201","homo","carrot","2","category",1,657
"201","homo","parsnip","2","category",1,657
"201","homo","carrot","2","category",2,657
"201","homo","lettuce","2","category",2,657
"201","homo","carrot","2","category",3,657
"201","homo","lettuce","2","category",3,657
"201","homo","carrot","2","category",4,657
"201","homo","lettuce","2","category",4,657
"201","homo","carrot","2","category",5,657
"201","homo","lettuce","2","category",5,657
"201","homo","frog","2","RAT",1,657
"201","homo","garbage","2","RAT",1,657
"201","homo","frog","2","RAT",2,657
"201","homo","cow","2","RAT",2,657
"201","homo","frog","2","RAT",3,657
"201","homo","cow","2","RAT",3,657
"201","homo","cow","2","RAT",4,657
"201","homo","frog","2","RAT",4,657
"201","homo","frog","2","RAT",5,657
"201","homo","cow","2","RAT",5,657
"201","het","kite","2","category",1,657
"201","het","trumpet","2","category",1,657
"201","het","trumpet","2","category",2,657
"201","het","kite","2","category",2,657
"201","het","trumpet","2","category",3,657
"201","het","kite","2","category",3,657
"201","het","trumpet","2","category",4,657
"201","het","parsnip","2","category",4,657
"201","het","trumpet","2","category",5,657
"201","het","parsnip","2","category",5,657
"201","homo","piano","2","category",1,657
"201","homo","guitar","2","category",1,657
"201","homo","trumpet","2","category",2,657
"201","homo","trumpet","2","category",3,657
"201","homo","guitar","2","category",3,657
"201","homo","trumpet","2","category",4,657
"201","homo","guitar","2","category",4,657
"201","homo","trumpet","2","category",5,657
"201","homo","guitar","2","category",5,657
"201","het","car","2","category",1,657
"201","het","ball","2","category",1,657
"201","het","ball","2","category",2,657
"201","het","lettuce","2","category",2,657
"201","het","car","2","category",3,657
"201","het","car","2","category",4,657
"201","het","ball","2","category",4,657
"201","het","car","2","category",5,657
"201","het","ball","2","category",5,657
"201","het","shoe","2","RAT",1,657
"201","het","peanut","2","RAT",1,657
"201","het","shoe","2","RAT",2,657
"201","het","bird","2","RAT",2,657
"201","het","bird","2","RAT",3,657
"201","het","shoe","2","RAT",3,657
"201","het","bird","2","RAT",4,657
"201","het","shoe","2","RAT",4,657
"201","het","bird","2","RAT",5,657
"201","het","shoe","2","RAT",5,657
"201","homo","kite","2","category",1,657
"201","homo","top","2","category",1,657
"201","homo","top","2","category",2,657
"201","homo","ball","2","category",2,657
"201","homo","top","2","category",3,657
"201","homo","ball","2","category",3,657
"201","homo","ball","2","category",4,657
"201","homo","top","2","category",4,657
"201","homo","ball","2","category",5,657
"201","homo","axe","2","RAT",1,657
"201","homo","axe","2","RAT",2,657
"201","homo","bird","2","RAT",2,657
"201","homo","axe","2","RAT",3,657
"201","homo","bird","2","RAT",3,657
"201","homo","bird","2","RAT",4,657
"201","homo","syrup","2","RAT",5,657
"201","homo","axe","2","RAT",5,657
"201","homo","desk","2","RAT",1,657
"201","homo","shoe","2","RAT",1,657
"201","homo","desk","2","RAT",2,657
"201","homo","jaw","2","RAT",2,657
"201","homo","desk","2","RAT",3,657
"201","homo","shoe","2","RAT",3,657
"201","homo","desk","2","RAT",4,657
"201","homo","jaw","2","RAT",4,657
"201","homo","jaw","2","RAT",5,657
"201","homo","shoe","2","RAT",5,657
"201","homo","egg","2","RAT",1,657
"201","homo","peanut","2","RAT",1,657
"201","homo","peanut","2","RAT",2,657
"201","homo","egg","2","RAT",2,657
"201","homo","turtle","2","RAT",3,657
"201","homo","turtle","2","RAT",4,657
"201","homo","peanut","2","RAT",4,657
"201","homo","peanut","2","RAT",5,657
"201","homo","turtle","2","RAT",5,657
"201","het","carrot","2","category",1,657
"201","het","piano","2","category",1,657
"201","het","piano","2","category",2,657
"201","het","carrot","2","category",2,657
"201","het","piano","2","category",3,657
"201","het","train","2","category",3,657
"201","het","train","2","category",4,657
"201","het","train","2","category",5,657
"201","het","carrot","2","category",5,657
"201","het","frog","2","RAT",1,657
"201","het","axe","2","RAT",1,657
"201","het","frog","2","RAT",2,657
"201","het","axe","2","RAT",2,657
"201","het","axe","2","RAT",3,657
"201","het","jaw","2","RAT",3,657
"201","het","axe","2","RAT",4,657
"201","het","jaw","2","RAT",4,657
"201","het","axe","2","RAT",5,657
"201","het","frog","2","RAT",5,657
"201","het","egg","2","RAT",1,657
"201","het","cow","2","RAT",1,657
"201","het","cow","2","RAT",2,657
"201","het","egg","2","RAT",2,657
"201","het","egg","2","RAT",3,657
"201","het","desk","2","RAT",3,657
"201","het","egg","2","RAT",4,657
"201","het","cow","2","RAT",4,657
"201","het","egg","2","RAT",5,657
"201","het","cow","2","RAT",5,657
"201","homo","train","2","category",1,657
"201","homo","car","2","category",2,657
"201","homo","bus","2","category",2,657
"201","homo","car","2","category",3,657
"201","homo","bus","2","category",3,657
"201","homo","bus","2","category",4,657
"201","homo","train","2","category",4,657
"201","homo","bus","2","category",5,657
"201","homo","car","2","category",5,657
"201","het","bus","2","category",1,657
"201","het","top","2","category",1,657
"201","het","bus","2","category",2,657
"201","het","top","2","category",2,657
"201","het","bus","2","category",3,657
"201","het","top","2","category",3,657
"201","het","bus","2","category",4,657
"201","het","guitar","2","category",4,657
"201","het","top","2","category",5,657
"201","het","turtle","2","RAT",1,657
"201","het","syrup","2","RAT",1,657
"201","het","turtle","2","RAT",2,657
"201","het","garbage","2","RAT",3,657
"201","het","turtle","2","RAT",3,657
"201","het","turtle","2","RAT",4,657
"201","het","garbage","2","RAT",4,657
"201","het","garbage","2","RAT",5,657
"201","het","turtle","2","RAT",5,657
"202","homo","turtle","1","RAT",1,657
"202","homo","egg","1","RAT",1,657
"202","homo","egg","1","RAT",2,657
"202","homo","turtle","1","RAT",2,657
"202","homo","egg","1","RAT",3,657
"202","homo","turtle","1","RAT",3,657
"202","homo","egg","1","RAT",4,657
"202","homo","turtle","1","RAT",4,657
"202","homo","turtle","1","RAT",5,657
"202","homo","peanut","1","RAT",5,657
"202","het","syrup","1","RAT",1,657
"202","het","garbage","1","RAT",1,657
"202","het","garbage","1","RAT",2,657
"202","het","syrup","1","RAT",2,657
"202","het","garbage","1","RAT",3,657
"202","het","turtle","1","RAT",3,657
"202","het","garbage","1","RAT",4,657
"202","het","turtle","1","RAT",4,657
"202","het","garbage","1","RAT",5,657
"202","homo","ball","1","category",1,657
"202","homo","top","1","category",1,657
"202","homo","ball","1","category",2,657
"202","homo","top","1","category",2,657
"202","homo","ball","1","category",3,657
"202","homo","top","1","category",3,657
"202","homo","ball","1","category",4,657
"202","homo","kite","1","category",4,657
"202","homo","ball","1","category",5,657
"202","homo","kite","1","category",5,657
"202","het","egg","1","RAT",1,657
"202","het","cow","1","RAT",1,657
"202","het","cow","1","RAT",2,657
"202","het","desk","1","RAT",2,657
"202","het","desk","1","RAT",3,657
"202","het","egg","1","RAT",3,657
"202","het","desk","1","RAT",4,657
"202","het","cow","1","RAT",4,657
"202","het","desk","1","RAT",5,657
"202","het","cow","1","RAT",5,657
"202","homo","frog","1","RAT",1,657
"202","homo","garbage","1","RAT",1,657
"202","homo","garbage","1","RAT",2,657
"202","homo","frog","1","RAT",2,657
"202","homo","frog","1","RAT",3,657
"202","homo","cow","1","RAT",3,657
"202","homo","cow","1","RAT",4,657
"202","homo","frog","1","RAT",4,657
"202","homo","frog","1","RAT",5,657
"202","homo","cow","1","RAT",5,657
"202","het","carrot","1","category",1,657
"202","het","train","1","category",1,657
"202","het","carrot","1","category",2,657
"202","het","train","1","category",2,657
"202","het","train","1","category",3,657
"202","het","piano","1","category",3,657
"202","het","piano","1","category",4,657
"202","het","carrot","1","category",4,657
"202","het","piano","1","category",5,657
"202","het","carrot","1","category",5,657
"202","homo","parsnip","1","category",1,657
"202","homo","lettuce","1","category",1,657
"202","homo","parsnip","1","category",2,657
"202","homo","lettuce","1","category",2,657
"202","homo","parsnip","1","category",3,657
"202","homo","lettuce","1","category",3,657
"202","homo","parsnip","1","category",4,657
"202","homo","lettuce","1","category",5,657
"202","homo","carrot","1","category",5,657
"202","het","bird","1","RAT",1,657
"202","het","peanut","1","RAT",1,657
"202","het","peanut","1","RAT",2,657
"202","het","shoe","1","RAT",2,657
"202","het","peanut","1","RAT",3,657
"202","het","bird","1","RAT",3,657
"202","het","peanut","1","RAT",4,657
"202","het","shoe","1","RAT",4,657
"202","het","shoe","1","RAT",5,657
"202","het","ball","1","category",1,657
"202","het","car","1","category",1,657
"202","het","ball","1","category",2,657
"202","het","car","1","category",2,657
"202","het","ball","1","category",3,657
"202","het","car","1","category",3,657
"202","het","ball","1","category",4,657
"202","het","car","1","category",4,657
"202","het","car","1","category",5,657
"202","het","lettuce","1","category",5,657
"202","homo","trumpet","1","category",1,657
"202","homo","piano","1","category",1,657
"202","homo","trumpet","1","category",2,657
"202","homo","piano","1","category",2,657
"202","homo","piano","1","category",3,657
"202","homo","trumpet","1","category",3,657
"202","homo","piano","1","category",4,657
"202","homo","guitar","1","category",4,657
"202","homo","piano","1","category",5,657
"202","homo","trumpet","1","category",5,657
"202","het","trumpet","1","category",1,657
"202","het","parsnip","1","category",1,657
"202","het","parsnip","1","category",2,657
"202","het","trumpet","1","category",2,657
"202","het","trumpet","1","category",3,657
"202","het","parsnip","1","category",3,657
"202","het","parsnip","1","category",4,657
"202","het","trumpet","1","category",4,657
"202","het","trumpet","1","category",5,657
"202","het","kite","1","category",5,657
"202","homo","car","1","category",1,657
"202","homo","car","1","category",2,657
"202","homo","bus","1","category",2,657
"202","homo","car","1","category",3,657
"202","homo","train","1","category",3,657
"202","homo","train","1","category",4,657
"202","homo","bus","1","category",4,657
"202","homo","bus","1","category",5,657
"202","homo","car","1","category",5,657
"202","het","axe","1","RAT",1,657
"202","het","jaw","1","RAT",1,657
"202","het","axe","1","RAT",2,657
"202","het","jaw","1","RAT",2,657
"202","het","jaw","1","RAT",3,657
"202","het","frog","1","RAT",3,657
"202","het","frog","1","RAT",4,657
"202","het","axe","1","RAT",4,657
"202","het","frog","1","RAT",5,657
"202","het","jaw","1","RAT",5,657
"202","homo","shoe","1","RAT",1,657
"202","homo","desk","1","RAT",1,657
"202","homo","shoe","1","RAT",2,657
"202","homo","jaw","1","RAT",2,657
"202","homo","shoe","1","RAT",3,657
"202","homo","desk","1","RAT",3,657
"202","homo","shoe","1","RAT",4,657
"202","homo","desk","1","RAT",4,657
"202","homo","shoe","1","RAT",5,657
"202","het","guitar","1","category",1,657
"202","het","top","1","category",1,657
"202","het","guitar","1","category",2,657
"202","het","top","1","category",2,657
"202","het","guitar","1","category",3,657
"202","het","bus","1","category",3,657
"202","het","guitar","1","category",4,657
"202","het","guitar","1","category",5,657
"202","het","bus","1","category",5,657
"202","het","top","2","category",1,657
"202","het","guitar","2","category",1,657
"202","het","top","2","category",2,657
"202","het","bus","2","category",2,657
"202","het","top","2","category",3,657
"202","het","guitar","2","category",3,657
"202","het","top","2","category",4,657
"202","het","guitar","2","category",4,657
"202","het","top","2","category",5,657
"202","het","guitar","2","category",5,657
"202","het","train","2","category",1,657
"202","het","piano","2","category",1,657
"202","het","piano","2","category",2,657
"202","het","carrot","2","category",2,657
"202","het","train","2","category",3,657
"202","het","train","2","category",4,657
"202","het","carrot","2","category",4,657
"202","het","train","2","category",5,657
"202","het","piano","2","category",5,657
"202","het","kite","2","category",1,657
"202","het","parsnip","2","category",1,657
"202","het","parsnip","2","category",2,657
"202","het","kite","2","category",2,657
"202","het","parsnip","2","category",3,657
"202","het","kite","2","category",3,657
"202","het","parsnip","2","category",4,657
"202","het","trumpet","2","category",4,657
"202","het","trumpet","2","category",5,657
"202","het","kite","2","category",5,657
"202","het","turtle","2","RAT",1,657
"202","het","syrup","2","RAT",1,657
"202","het","syrup","2","RAT",2,657
"202","het","turtle","2","RAT",2,657
"202","het","turtle","2","RAT",3,657
"202","het","garbage","2","RAT",3,657
"202","het","turtle","2","RAT",4,657
"202","het","garbage","2","RAT",4,657
"202","het","turtle","2","RAT",5,657
"202","het","syrup","2","RAT",5,657
"202","homo","top","2","category",1,657
"202","homo","ball","2","category",1,657
"202","homo","ball","2","category",2,657
